name,pos,nfl,age,rank
Jaxon Smith-Njigba,WR,SEA,24.3,1
Ja'Marr Chase,WR,CIN,26.3,2
Bijan Robinson,RB,ATL,24.3,3
Puka Nacua,WR,LAR,24,4
Jahmyr Gibbs,RB,DET,24.2,5
Amon-Ra St. Brown,WR,DET,26.6,6
Malik Nabers,WR,NYG,22.8,7
Justin Jefferson,WR,MIN,26.9,8
Ashton Jeanty,RB,LV,22.4,9
CeeDee Lamb,WR,DAL,27.1,10
Brock Bowers,TE,LV,23.4,11
Jeremiyah Love,RB,ARI,20,12
Drake London,WR,ATL,24.8,13
Omarion Hampton,RB,LAC,23.2,14
Trey McBride,TE,ARI,26.5,15
Tetairoa McMillan,WR,CAR,23.1,16
George Pickens,WR,DAL,25.2,17
Devon Achane,RB,MIA,24.6,18
Josh Allen,QB,BUF,29,19
Carnell Tate,WR,TEN,21.3,20
Rashee Rice,WR,KC,26.1,21
Drake Maye,QB,NE,23.8,22
Garrett Wilson,WR,NYJ,25.8,23
James Cook,RB,BUF,26.7,24
Jonathan Taylor,RB,IND,27.3,25
Chris Olave,WR,NO,25.9,26
Colston Loveland,TE,CHI,22.1,27
Nico Collins,WR,HOU,27.2,28
Kenneth Walker,RB,KC,25.6,29
Emeka Egbuka,WR,TB,23.6,30
Jayden Daniels,QB,WAS,25.4,31
Jordyn Tyson,WR,NO,21.8,32
Makai Lemon,WR,PHI,21.9,33
Caleb Williams,QB,CHI,24.5,34
Jadarian Price,RB,SEA,22.6,35
Lamar Jackson,QB,BAL,29.3,36
Chase Brown,RB,CIN,26.2,37
Luther Burden,WR,CHI,22.4,38
Ladd McConkey,WR,LAC,24.5,39
Breece Hall,RB,NYJ,24,40
Rome Odunze,WR,CHI,23.9,41
Tyler Warren,TE,IND,23,42
Quinshon Judkins,RB,CLE,22.6,43
TreVeyon Henderson,RB,NE,23.6,44
Tee Higgins,WR,CIN,27.3,45
Christian McCaffrey,RB,SF,29.9,46
Bucky Irving,RB,TB,23.8,47
Joe Burrow,QB,CIN,29.4,48
Brian Thomas,WR,JAX,23.6,49
Patrick Mahomes,QB,KC,30.7,50
Marvin Harrison,WR,ARI,23.8,51
Zay Flowers,WR,BAL,25.7,52
Kyren Williams,RB,LAR,25.8,53
DeVonta Smith,WR,PHI,27.5,54
Saquon Barkley,RB,PHI,29.3,55
Cam Skattebo,RB,NYG,24.3,56
Harold Fannin,TE,CLE,21.8,57
Jaylen Waddle,WR,DEN,27.5,58
Jameson Williams,WR,DET,25.2,59
Tucker Kraft,TE,GB,25.5,60
A.J. Brown,WR,PHI,28.9,61
KC Concepcion,WR,CLE,21.7,62
Javonte Williams,RB,DAL,26.1,63
Travis Etienne,RB,NO,27.3,64
Kenyon Sadiq,TE,NYJ,21.2,65
Jalen Hurts,QB,PHI,27.8,66
Jaxson Dart,QB,NYG,23,67
Omar Cooper Jr.,WR,NYJ,22.4,68
Bhayshul Tuten,RB,JAX,23.3,69
Travis Hunter,WR,JAX,22,70
Justin Herbert,QB,LAC,28.2,71
Jordan Addison,WR,MIN,24.3,72
Josh Jacobs,RB,GB,28.3,73
Bo Nix,QB,DEN,26.3,74
Trevor Lawrence,QB,JAX,26.6,75
Brock Purdy,QB,SF,26.4,76
DJ Moore,WR,BUF,29.1,77
Michael Wilson,WR,ARI,26.3,78
Alec Pierce,WR,IND,26,79
Sam LaPorta,TE,DET,25.3,80
Kyle Pitts,TE,ATL,25.6,81
Davante Adams,WR,LAR,33.4,82
Terry McLaurin,WR,WAS,30.7,83
Christian Watson,WR,GB,27,84
Derrick Henry,RB,BAL,32.3,85
D'Andre Swift,RB,CHI,27.3,86
Michael Pittman,WR,PIT,28.6,87
Mike Evans,WR,SF,32.8,88
Jonah Coleman,RB,DEN,22.8,89
Fernando Mendoza,QB,LV,22.6,90
Wan'Dale Robinson,WR,TEN,25.3,91
DK Metcalf,WR,PIT,28.4,92
Dak Prescott,QB,DAL,32.8,93
Oronde Gadsden,TE,LAC,22.9,94
Quentin Johnston,WR,LAC,24.7,95
RJ Harvey,RB,DEN,25.3,96
Xavier Worthy,WR,KC,23.1,97
Denzel Boston,WR,CLE,22.4,98
Ricky Pearsall,WR,SF,25.7,99
David Montgomery,RB,HOU,28.9,100
Jordan Love,QB,GB,27.5,101
Chuba Hubbard,RB,CAR,26.9,102
Eli Stowers,TE,PHI,23.1,103
Jared Goff,QB,DET,31.6,104
Matthew Golden,WR,GB,22.8,105
Baker Mayfield,QB,TB,31.1,106
George Kittle,TE,SF,32.6,107
Jayden Higgins,WR,HOU,23.4,108
Jaylen Warren,RB,PIT,27.6,109
Dalton Kincaid,TE,BUF,26.6,110
Kyle Monangai,RB,CHI,23.9,111
Jake Ferguson,TE,DAL,27.3,112
Tyler Shough,QB,NO,26.7,113
Parker Washington,WR,JAX,24.2,114
Courtland Sutton,WR,DEN,30.6,115
Cam Ward,QB,TEN,23,116
Jakobi Meyers,WR,JAX,29.5,117
Kyler Murray,QB,MIN,28.8,118
Chris Godwin,WR,TB,30.3,119
Rico Dowdle,RB,PIT,27.9,120
Josh Downs,WR,IND,24.8,121
Zach Charbonnet,RB,SEA,25.3,122
C.J. Stroud,QB,HOU,24.6,123
Blake Corum,RB,LAR,25.5,124
Romeo Doubs,WR,NE,26.1,125
Rachaad White,RB,WAS,27.3,126
Jonathon Brooks,RB,CAR,22.8,127
Isaiah Likely,TE,NYG,26.1,128
Rhamondre Stevenson,RB,NE,28.3,129
Brenton Strange,TE,JAX,25.4,130
Jayden Reed,WR,GB,26.1,131
Sam Darnold,QB,SEA,28.9,132
Ty Simpson,QB,LAR,23.4,133
Nicholas Singleton,RB,TEN,22.3,134
J.K. Dobbins,RB,DEN,27.4,135
Germie Bernard,WR,PIT,22.4,136
Tony Pollard,RB,TEN,29.1,137
Bryce Young,QB,CAR,24.8,138
Kenneth Gainwell,RB,TB,27.2,139
Tyrone Tracy,RB,NYG,26.5,140
Tyler Allgeier,RB,ARI,26.1,141
Jacory Croskey-Merritt,RB,WAS,25.1,142
Max Klare,TE,LAR,22.8,143
Daniel Jones,QB,IND,28,144
Brandon Aiyuk,WR,SF,28.2,145
Woody Marks,RB,HOU,25.4,146
Chris Bell,WR,MIA,21,147
Chris Rodriguez,RB,JAX,26.7,148
Jordan Mason,RB,MIN,26,149
Jalen Coker,WR,CAR,24.6,150
Jauan Jennings,WR,MIN,28.8,151
Antonio Williams,WR,WAS,21.8,152
Jalen McMillan,WR,TB,24.4,153
Malik Willis,QB,MIA,26,154
Elijah Sarratt,WR,BAL,22,155
Dallas Goedert,TE,PHI,31.3,156
Deebo Samuel,WR,,30.3,157
Matthew Stafford,QB,LAR,38.3,158
Isiah Pacheco,RB,DET,27.2,159
Aaron Jones,RB,MIN,31.4,160
Khalil Shakir,WR,BUF,26.3,161
Dylan Sampson,RB,CLE,21.7,162
Tyjae Spears,RB,TEN,24.9,163
Mark Andrews,TE,BAL,30.7,164
Troy Franklin,WR,DEN,23.3,165
T.J. Hockenson,TE,MIN,28.8,166
Zachariah Branch,WR,ATL,22.2,167
Kaytron Allen,RB,WAS,23.3,168
Eli Raridon,TE,NE,22.3,169
Rashid Shaheed,WR,SEA,27.8,170
Stefon Diggs,WR,,32.5,171
De'Zhaun Stribling,WR,SF,23.4,172
Jaylin Noel,WR,HOU,23.7,173
David Njoku,TE,LAC,29.8,174
Jack Bech,WR,LV,23.4,175
AJ Barner,TE,SEA,24,176
Chris Brazzell II,WR,CAR,22,177
Chig Okonkwo,TE,WAS,26.7,178
Terrance Ferguson,TE,LAR,23.2,179
Michael Penix,QB,ATL,26,180
Alvin Kamara,RB,NO,30.8,181
Ted Hurst,WR,TB,21,182
Ja'Kobi Lane,WR,BAL,21.8,183
Tre Harris,WR,LAC,24.3,184
Kayshon Boutte,WR,NE,24,185
Kaelon Black,RB,SF,24.6,186
Elic Ayomanor,WR,TEN,22.9,187
Travis Kelce,TE,KC,36.6,188
Drew Allar,QB,PIT,22.2,189
Emmett Johnson,RB,KC,22.6,190
Kaleb Johnson,RB,PIT,22.8,191
Jerry Jeudy,WR,CLE,27.1,192
Tory Horton,WR,SEA,23.5,193
Braelon Allen,RB,NYJ,22.3,194
Tyreek Hill,WR,,32.3,195
Chimere Dike,WR,TEN,23.4,196
Mason Taylor,TE,NYJ,22,197
Carson Beck,QB,ARI,23.5,198
Keon Coleman,WR,BUF,23,199
Tua Tagovailoa,QB,ATL,28.2,200
Tank Bigsby,RB,PHI,24.8,201
Brian Robinson,RB,ATL,27.2,202
Hunter Henry,TE,NE,31.4,203
Justin Joly,TE,DEN,21.8,204
Calvin Ridley,WR,TEN,31.4,205
Kyle Williams,WR,NE,23.5,206
Gunnar Helm,TE,TEN,23.7,207
Kimani Vidal,RB,LAC,24.8,208
Demond Claiborne,RB,MIN,22.6,209
Adonai Mitchell,WR,NYJ,23.6,210
Pat Bryant,WR,DEN,23.4,211
Malachi Fields,WR,NYG,22,212
J.J. McCarthy,QB,MIN,23.3,213
Tez Johnson,WR,TB,23,214
Mac Jones,QB,SF,27.7,215
Mike Washington Jr.,RB,LV,22,216
Geno Smith,QB,NYJ,35.6,217
Theo Johnson,TE,NYG,25.3,218
Darnell Mooney,WR,NYG,28.6,219
Shedeur Sanders,QB,CLE,24.3,220
Trey Benson,RB,ARI,23.8,221
Cade Otton,TE,TB,27.1,222
Jacoby Brissett,QB,ARI,33.4,223
Adam Randall,RB,BAL,21.8,224
Devin Neal,RB,NO,22.8,225
Juwan Johnson,TE,NO,29.7,226
Isaac TeSlaa,WR,DET,24.3,227
Oscar Delp,TE,NO,22.8,228
Dalton Schultz,TE,HOU,29.8,229
Caleb Douglas,WR,MIA,22.7,230
Keaton Mitchell,RB,LAC,24.3,231
DJ Giddens,RB,IND,22.8,232
Jack Endries,TE,CIN,22,233
Skyler Bell,WR,BUF,23.8,234
Xavier Legette,WR,CAR,25.3,235
Malik Washington,WR,MIA,25.3,236
Anthony Richardson Sr.,QB,IND,23,237
Justin Fields,QB,KC,27.2,238
Joe Mixon,RB,,29.8,239
Pat Freiermuth,TE,PIT,27.6,240
Elijah Arroyo,TE,SEA,23.1,241
Ray Davis,RB,BUF,26.5,242
Keenan Allen,WR,,34.1,243
Aaron Rodgers,QB,,42.4,244
Jordan James,RB,SF,22.2,245
Cedric Tillman,WR,CLE,26.1,246
Sean Tucker,RB,TB,24.6,247
Jaydon Blue,RB,DAL,22.3,248
Ja'Tavion Sanders,TE,CAR,23.2,249
Cooper Kupp,WR,SEA,32.9,250
Emanuel Wilson,RB,SEA,27,251
Tre Tucker,WR,LV,25.2,252
James Conner,RB,ARI,31,253
Taysom Hill,TE,,35.8,254
Kirk Cousins,QB,LV,37.8,255
Brashard Smith,RB,KC,23.1,256
Bryce Lance,WR,NO,23,257
Michael Mayer,TE,LV,24.8,258
Evan Engram,TE,DEN,31.7,259
Cade Klubnik,QB,NYJ,22.6,260
Jam Miller,RB,NE,22.1,261
Tank Dell,WR,HOU,26.6,262
Ollie Gordon II,RB,MIA,22.3,263
Desmond Reid,RB,BUF,21.8,264
Colby Parkinson,TE,LAR,27.3,265
Eli Heidenreich,RB,PIT,22,266
Jalen Milroe,QB,SEA,23.4,267
Zach Wilson,QB,NO,26.8,268
